com.samsung.shealth.cycle.daily_temperature.raw,6307003,2
start_time,custom,hr_rri,update_time,create_time,temperature,time_offset,deviceuuid,pkg_name,tracked_by,end_time,datauuid
2024-05-20 03:16:00.000,,041de7c9-a847-4815-9423-b1390fbbcbbc.hr_rri.json,2024-05-20 10:40:43.753,2024-05-20 10:40:43.753,041de7c9-a847-4815-9423-b1390fbbcbbc.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-20 10:27:00.000,041de7c9-a847-4815-9423-b1390fbbcbbc,
2024-05-21 02:55:00.000,,89ae2b00-be48-42c0-bc11-b596b40b2aaf.hr_rri.json,2024-05-21 10:45:15.254,2024-05-21 10:45:15.254,89ae2b00-be48-42c0-bc11-b596b40b2aaf.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-21 10:28:00.000,89ae2b00-be48-42c0-bc11-b596b40b2aaf,
2024-05-22 02:58:00.000,,38411773-1b49-4131-9dae-4a192250d088.hr_rri.json,2024-05-22 10:42:02.183,2024-05-22 10:42:02.183,38411773-1b49-4131-9dae-4a192250d088.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-22 10:37:00.000,38411773-1b49-4131-9dae-4a192250d088,
2024-05-23 02:13:00.000,,a55f996e-cdf5-4a8c-a3e5-3b4622df84ae.hr_rri.json,2024-05-23 10:40:51.915,2024-05-23 10:40:51.915,a55f996e-cdf5-4a8c-a3e5-3b4622df84ae.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-23 10:40:00.000,a55f996e-cdf5-4a8c-a3e5-3b4622df84ae,
2024-05-24 02:58:00.000,,dcbcfee0-c055-49e3-82cf-e8499fef3508.hr_rri.json,2024-05-24 08:33:24.971,2024-05-24 08:33:24.971,dcbcfee0-c055-49e3-82cf-e8499fef3508.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-24 08:06:00.000,dcbcfee0-c055-49e3-82cf-e8499fef3508,
2024-05-24 08:34:00.000,,69774afd-0030-44a4-9323-0542978baa2f.hr_rri.json,2024-05-24 12:42:19.017,2024-05-24 12:42:19.017,69774afd-0030-44a4-9323-0542978baa2f.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-24 10:09:00.000,69774afd-0030-44a4-9323-0542978baa2f,
2024-05-25 03:30:00.000,,e3a40173-27ed-4f1e-9b3e-eb891fff5d66.hr_rri.json,2024-05-25 10:35:00.138,2024-05-25 10:35:00.138,e3a40173-27ed-4f1e-9b3e-eb891fff5d66.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-25 10:09:00.000,e3a40173-27ed-4f1e-9b3e-eb891fff5d66,
2024-05-26 03:25:00.000,,9050d14c-e45e-470b-857b-38c759daa55c.hr_rri.json,2024-05-26 11:04:02.497,2024-05-26 11:04:02.497,9050d14c-e45e-470b-857b-38c759daa55c.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-26 11:03:00.000,9050d14c-e45e-470b-857b-38c759daa55c,
2024-05-27 03:03:00.000,,86692369-09a7-4e58-ba13-6a8434d3f060.hr_rri.json,2024-05-27 13:37:50.000,2024-05-27 13:37:50.000,86692369-09a7-4e58-ba13-6a8434d3f060.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-27 13:28:00.000,86692369-09a7-4e58-ba13-6a8434d3f060,
2024-05-28 04:04:00.000,,518b65a8-fefb-4ed1-852f-0a1bae84740b.hr_rri.json,2024-05-28 09:58:01.772,2024-05-28 09:58:01.772,518b65a8-fefb-4ed1-852f-0a1bae84740b.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-28 09:57:00.000,518b65a8-fefb-4ed1-852f-0a1bae84740b,
2024-05-29 02:43:00.000,,84df3aac-f49a-43e5-8398-d57d9c5b4f6b.hr_rri.json,2024-05-29 10:43:59.634,2024-05-29 10:43:59.634,84df3aac-f49a-43e5-8398-d57d9c5b4f6b.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-29 10:13:00.000,84df3aac-f49a-43e5-8398-d57d9c5b4f6b,
2024-05-30 03:08:00.000,,2965c62b-db5f-4e1b-8018-d5407bc72298.hr_rri.json,2024-05-30 10:41:12.181,2024-05-30 10:41:12.181,2965c62b-db5f-4e1b-8018-d5407bc72298.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-30 10:16:00.000,2965c62b-db5f-4e1b-8018-d5407bc72298,
2024-05-31 03:28:00.000,,44d30498-c1e3-4c5d-ad07-98e839845aee.hr_rri.json,2024-05-31 13:02:55.629,2024-05-31 13:02:55.629,44d30498-c1e3-4c5d-ad07-98e839845aee.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-31 13:02:00.000,44d30498-c1e3-4c5d-ad07-98e839845aee,
2024-06-01 04:13:00.000,,5e1f89b4-db97-48df-b02e-4b4b7c153491.hr_rri.json,2024-06-01 11:42:39.537,2024-06-01 11:42:39.537,5e1f89b4-db97-48df-b02e-4b4b7c153491.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-06-01 11:42:00.000,5e1f89b4-db97-48df-b02e-4b4b7c153491,
2024-06-02 03:37:00.000,,98add710-82e5-4edc-8bee-f1c9689f866f.hr_rri.json,2024-06-02 12:57:42.421,2024-06-02 12:57:42.421,98add710-82e5-4edc-8bee-f1c9689f866f.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-06-02 12:30:00.000,98add710-82e5-4edc-8bee-f1c9689f866f,
2024-06-03 03:29:00.000,,9e5c4b52-8d92-4b2a-a53c-4fa46648d8e7.hr_rri.json,2024-06-03 10:35:23.934,2024-06-03 10:35:23.934,9e5c4b52-8d92-4b2a-a53c-4fa46648d8e7.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-06-03 10:21:00.000,9e5c4b52-8d92-4b2a-a53c-4fa46648d8e7,
2024-06-04 03:52:00.000,,e4db2802-91af-4545-8449-4c4fa6d7f75d.hr_rri.json,2024-06-04 10:20:08.019,2024-06-04 10:20:08.019,e4db2802-91af-4545-8449-4c4fa6d7f75d.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-06-04 10:20:00.000,e4db2802-91af-4545-8449-4c4fa6d7f75d,
2024-06-05 03:13:00.000,,c9ab6b1c-a34f-4016-9f97-94702a02c814.hr_rri.json,2024-06-05 10:30:15.222,2024-06-05 10:30:15.222,c9ab6b1c-a34f-4016-9f97-94702a02c814.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-06-05 10:12:00.000,c9ab6b1c-a34f-4016-9f97-94702a02c814,
