"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.330908559E1,3.621296272E1,-8.168148509E1,9.712884409E2,9.390556641E2,1.889999986E0,3.132000122E2,1.680545230E-1,3.790092468E0,2.500000000E0,2.600000000E1
9.430883356E1,3.621297493E1,-8.168149962E1,9.713819365E2,9.391491699E2,1.889999986E0,3.140000000E2,1.698437719E-1,3.790092468E0,2.500000000E0,2.600000000E1
9.530883429E1,3.621298631E1,-8.168151372E1,9.715398855E2,9.393071289E2,1.850000024E0,3.123999939E2,1.715798003E-1,3.790092468E0,2.500000000E0,2.600000000E1
9.630975335E1,3.621299744E1,-8.168152729E1,9.714898271E2,9.392570801E2,1.730000019E0,3.127999878E2,1.733497372E-1,3.790092468E0,2.500000000E0,2.600000000E1
9.730920100E1,3.621300854E1,-8.168154143E1,9.715774636E2,9.393447266E2,1.779999971E0,3.148999939E2,1.752390482E-1,3.790092468E0,2.500000000E0,2.700000000E1
9.830968257E1,3.621302090E1,-8.168155588E1,9.719065549E2,9.396738281E2,1.919999957E0,3.177999878E2,1.771813020E-1,3.790092468E0,2.500000000E0,2.600000000E1
9.930922527E1,3.621303395E1,-8.168157027E1,9.722574969E2,9.400247803E2,1.889999986E0,3.182000122E2,1.791014533E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.003090601E2,3.621304682E1,-8.168158454E1,9.722642007E2,9.400314941E2,1.860000014E0,3.153999939E2,1.809835352E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.013096096E2,3.621305954E1,-8.168159838E1,9.724579165E2,9.402252197E2,1.779999971E0,3.171000061E2,1.829156141E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.023093438E2,3.621307275E1,-8.168161237E1,9.725954799E2,9.403627930E2,1.840000033E0,3.170000000E2,1.848531260E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.033094490E2,3.621308534E1,-8.168162730E1,9.726911725E2,9.404584961E2,1.809999943E0,3.141000061E2,1.867484780E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.043088261E2,3.621309766E1,-8.168164190E1,9.729956055E2,9.407629395E2,1.799999952E0,3.178999939E2,1.886687888E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.053090959E2,3.621311043E1,-8.168165631E1,9.732015279E2,9.409688721E2,1.909999967E0,3.170000000E2,1.905752314E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.063090290E2,3.621312288E1,-8.168167092E1,9.732951455E2,9.410625000E2,1.830000043E0,3.158999939E2,1.923474177E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.073096071E2,3.621313456E1,-8.168168436E1,9.735177923E2,9.412851562E2,1.850000024E0,3.187999878E2,1.940658517E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.083089475E2,3.621314588E1,-8.168169740E1,9.736216649E2,9.413890381E2,1.769999981E0,3.178999939E2,1.957745502E-1,3.790092468E0,2.500000000E0,2.700000000E1
