"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.570815330E-1,-1.328630894E-1,-2.893971801E-1,6.658425927E-2,3.253256706E-1
5.592387210E-1,-1.279761642E-1,-2.820668221E-1,6.291907281E-2,3.160670822E-1
5.613959080E-1,-1.243109852E-1,-2.832885385E-1,6.169734150E-2,3.154555104E-1
5.635530440E-1,-1.230892539E-1,-2.796233594E-1,6.291907281E-2,3.119278719E-1
5.657102310E-1,-1.218675226E-1,-2.771798968E-1,6.047561392E-2,3.087680167E-1
5.678674190E-1,-1.206457913E-1,-2.735147178E-1,6.169734150E-2,3.052413304E-1
5.700246580E-1,-1.182023361E-1,-2.820668221E-1,6.169734150E-2,3.119936639E-1
5.721818460E-1,-1.182023361E-1,-2.857320011E-1,6.291907281E-2,3.155524971E-1
5.743389810E-1,-1.182023361E-1,-2.955058515E-1,6.291907281E-2,3.244292069E-1
5.764961690E-1,-1.182023361E-1,-2.930623889E-1,6.658425927E-2,3.229408919E-1
5.786533560E-1,-1.206457913E-1,-3.101665974E-1,6.780599058E-2,3.396415426E-1
5.808105440E-1,-1.194240674E-1,-3.003927469E-1,6.902772188E-2,3.305491441E-1
5.829677310E-1,-1.218675226E-1,-3.052796721E-1,7.024945319E-2,3.361284828E-1
5.851249190E-1,-1.255327165E-1,-3.077231348E-1,7.147117704E-2,3.399413475E-1
5.872821060E-1,-1.267544478E-1,-3.077231348E-1,7.391463965E-2,3.409158132E-1
5.894392420E-1,-1.291978955E-1,-3.162752390E-1,7.391463965E-2,3.495504212E-1
5.915964810E-1,-1.267544478E-1,-3.162752390E-1,7.635809481E-2,3.491808636E-1
5.937536170E-1,-1.255327165E-1,-3.248273432E-1,7.635809481E-2,3.565134282E-1
5.959108040E-1,-1.206457913E-1,-3.346011937E-1,7.880155742E-2,3.643117500E-1
5.980679920E-1,-1.120936871E-1,-3.358229101E-1,7.880155742E-2,3.627005749E-1
6.002251790E-1,-1.035415828E-1,-3.443750143E-1,7.880155742E-2,3.681367888E-1
6.023823670E-1,-9.376774728E-2,-3.419315517E-1,7.757982612E-2,3.629438054E-1
6.045395540E-1,-8.643736690E-2,-3.419315517E-1,7.635809481E-2,3.608589241E-1
6.066967420E-1,-7.666353136E-2,-3.443750143E-1,7.513637096E-2,3.607172324E-1
6.088539290E-1,-6.811141968E-2,-3.480401933E-1,7.391463965E-2,3.622630475E-1
6.110111170E-1,-5.955931544E-2,-3.553705812E-1,7.391463965E-2,3.678300368E-1
6.131683040E-1,-5.345066637E-2,-3.627009690E-1,7.147117704E-2,3.735198733E-1
6.153254920E-1,-4.734202102E-2,-3.663661480E-1,7.147117704E-2,3.762626084E-1
6.174826790E-1,-4.489856213E-2,-3.663661480E-1,6.780599058E-2,3.752834764E-1
6.196398670E-1,-4.123337194E-2,-3.639226854E-1,6.414080411E-2,3.718251668E-1
6.217970540E-1,-4.001164436E-2,-3.627009690E-1,6.291907281E-2,3.702860169E-1
6.239542420E-1,-3.756818548E-2,-3.504836559E-1,6.047561392E-2,3.576415266E-1
6.261113770E-1,-3.390299529E-2,-3.394880891E-1,6.047561392E-2,3.464951307E-1
6.282685650E-1,-3.145953640E-2,-3.346011937E-1,5.803215504E-2,3.410504248E-1
6.304257520E-1,-3.023780696E-2,-3.272708058E-1,5.558869615E-2,3.333325794E-1
6.325829400E-1,-3.268126398E-2,-3.223838806E-1,5.436696485E-2,3.285653639E-1
6.347401270E-1,-3.145953640E-2,-3.113883138E-1,5.192350596E-2,3.172513749E-1
6.368973150E-1,-3.145953640E-2,-3.040579557E-1,5.070177838E-2,3.098574079E-1
6.390545020E-1,-3.268126398E-2,-3.003927469E-1,4.948004708E-2,3.061897165E-1
6.412116900E-1,-3.268126398E-2,-2.918406427E-1,4.825831577E-2,2.976035799E-1
6.433688770E-1,-3.145953640E-2,-2.796233594E-1,4.703658819E-2,2.852917212E-1
6.455260650E-1,-2.901607752E-2,-2.661843300E-1,4.459312931E-2,2.714490329E-1
6.476832520E-1,-2.535088919E-2,-2.551887631E-1,4.459312931E-2,2.602931417E-1
6.498404400E-1,-2.412915789E-2,-2.429714650E-1,4.337139800E-2,2.479887643E-1
6.519976270E-1,-2.535088919E-2,-2.405280024E-1,4.337139800E-2,2.457182648E-1
6.541548150E-1,-2.657261863E-2,-2.417497337E-1,4.337139800E-2,2.470427412E-1
